0,1,2,3,4,Random,Fixed
"(0.538, 0.462)","(0.5395, 0.4605)","(0.536, 0.464)","(0.529, 0.471)","(0.5304, 0.4696)",0.53458,0.46541999999999994
"(0.5313, 0.4687)","(0.5314, 0.4686)","(0.5301, 0.4699)","(0.5306, 0.4694)","(0.529, 0.471)",0.5304800000000001,0.46952
"(0.5277, 0.4723)","(0.5257, 0.4743)","(0.5235, 0.4765)","(0.5214, 0.4786)","(0.518, 0.482)",0.52326,0.47674000000000005
"(0.5188, 0.4813)","(0.5188, 0.4812)","(0.5188, 0.4812)","(0.5187, 0.4813)","(0.5175, 0.4824)",0.51852,0.48148
"(0.516, 0.484)","(0.5153, 0.4847)","(0.5155, 0.4845)","(0.5155, 0.4845)","(0.5149, 0.4851)",0.5154399999999999,0.48456
"(0.5153, 0.4847)","(0.5152, 0.4848)","(0.5154, 0.4846)","(0.5148, 0.4852)","(0.5146, 0.4854)",0.5150600000000001,0.48494000000000004
"(0.5143, 0.4857)","(0.5131, 0.4869)","(0.5128, 0.4872)","(0.513, 0.487)","(0.5125, 0.4875)",0.5131399999999999,0.48685999999999996
"(0.5127, 0.4873)","(0.5137, 0.4863)","(0.5142, 0.4858)","(0.5141, 0.4859)","(0.5142, 0.4858)",0.51378,0.48622
"(0.5138, 0.4862)","(0.5132, 0.4868)","(0.5123, 0.4877)","(0.5117, 0.4883)","(0.5116, 0.4884)",0.5125200000000001,0.48748
"(0.5115, 0.4885)","(0.5117, 0.4883)","(0.5119, 0.4881)","(0.5122, 0.4878)","(0.5119, 0.4881)",0.51184,0.48816000000000004
"(0.5112, 0.4888)","(0.5111, 0.4889)","(0.5104, 0.4896)","(0.5102, 0.4898)","(0.5096, 0.4904)",0.5105000000000001,0.48950000000000005
"(0.5091, 0.4909)","(0.5091, 0.4909)","(0.5089, 0.4911)","(0.5083, 0.4917)","(0.5081, 0.4919)",0.5086999999999999,0.4913
