endTime,artistName,trackName,Day,Week,Month,Minutes Played
2021-05-01 00:12:00,Lea Salonga,A Whole New World,1,17,5,2.68
2021-05-01 00:16:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),1,17,5,3.68
2021-05-01 00:19:00,Maren Morris,The Bones,1,17,5,3.29
2021-05-01 00:27:00,Maren Morris,The Bones - with Hozier,1,17,5,3.29
2021-05-01 00:31:00,Céline Dion,I'm Alive,1,17,5,3.5
2021-05-01 00:40:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",1,17,5,3.74
2021-05-01 00:53:00,Céline Dion,Right In Front of You,1,17,5,2.72
2021-05-01 02:57:00,Dua Lipa,Don't Start Now,1,17,5,3.05
2021-05-01 03:02:00,Taylor Swift,Untouchable (Taylor’s Version),1,17,5,5.2
2021-05-01 03:15:00,Shawn Mendes,There's Nothing Holdin' Me Back,1,17,5,2.42
2021-05-01 05:48:00,Billie Eilish,Your Power,1,17,5,4.1
2021-05-01 06:06:00,Taylor Swift,august,1,17,5,2.98
2021-05-01 09:48:00,girl in red,I'll Call You Mine,1,17,5,1.17
2021-05-01 09:50:00,girl in red,Serotonin,1,17,5,1.16
2021-05-01 09:51:00,Milly,No Te Enamores - Alan Walker Remix,1,17,5,0.88
2021-05-01 09:52:00,Adele,Hello,1,17,5,0.9
2021-05-02 00:19:00,Taylor Swift,evermore (feat. Bon Iver),2,17,5,5.07
2021-05-02 00:24:00,Taylor Swift,Untouchable (Taylor’s Version),2,17,5,5.2
2021-05-02 00:28:00,Taylor Swift,cardigan,2,17,5,3.99
2021-05-02 00:36:00,Taylor Swift,champagne problems,2,17,5,4.07
2021-05-02 00:44:00,Tape Machines,Lost You,2,17,5,3.03
2021-05-02 00:56:00,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",2,17,5,1.84
2021-05-03 00:24:00,Taylor Swift,Our Song,3,18,5,3.35
2021-05-03 00:27:00,Shawn Mendes,Señorita,3,18,5,3.18
2021-05-03 00:30:00,Dua Lipa,Don't Start Now,3,18,5,3.05
2021-05-03 00:34:00,Céline Dion,Right In Front of You,3,18,5,4.23
2021-05-03 00:43:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),3,18,5,3.68
2021-05-03 00:55:00,Céline Dion,Let's Talk About Love,3,18,5,1.73
2021-05-03 14:00:00,Miranda Lambert,Settling Down,3,18,5,3.27
2021-05-03 14:04:00,Harry Styles,Watermelon Sugar,3,18,5,2.9
2021-05-03 14:07:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),3,18,5,3.68
2021-05-03 14:10:00,Lea Salonga,A Whole New World,3,18,5,2.68
2021-05-03 14:13:00,Taylor Swift,Our Song,3,18,5,3.35
2021-05-03 14:18:00,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",3,18,5,4.67
2021-05-03 14:21:00,Tape Machines,Lost You,3,18,5,3.03
2021-05-03 14:24:00,Ed Sheeran,Afterglow,3,18,5,3.09
2021-05-03 14:27:00,Alan Walker,Faded,3,18,5,3.23
2021-05-04 00:12:00,Shawn Mendes,Where Were You In The Morning?,4,18,5,3.34
2021-05-04 00:15:00,Maren Morris,The Bones - with Hozier,4,18,5,3.29
2021-05-04 00:18:00,Taylor Swift,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),4,18,5,3.16
2021-05-04 00:27:00,Taylor Swift,willow,4,18,5,3.58
2021-05-04 00:29:00,Alan Walker,Fake A Smile,4,18,5,2.8
2021-05-04 00:38:00,Taylor Swift,exile (feat. Bon Iver),4,18,5,2.17
2021-05-04 00:40:00,Taylor Swift,exile (feat. Bon Iver),4,18,5,2.65
2021-05-04 00:43:00,Dua Lipa,Don't Start Now,4,18,5,3.05
2021-05-04 00:47:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",4,18,5,3.74
2021-05-04 00:50:00,Taylor Swift,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),4,18,5,3.16
2021-05-04 00:54:00,Taylor Swift,august,4,18,5,4.37
2021-05-04 00:58:00,Maren Morris,The Bones - with Hozier,4,18,5,3.29
2021-05-04 01:01:00,Taylor Swift,cardigan,4,18,5,3.99
2021-05-04 01:04:00,Lea Salonga,A Whole New World,4,18,5,2.68
2021-05-04 01:08:00,Céline Dion,Right In Front of You,4,18,5,4.23
2021-05-04 01:12:00,Dua Lipa,Levitating,4,18,5,3.4
2021-05-04 01:15:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),4,18,5,3.68
2021-05-04 01:19:00,Ed Sheeran,Shape of You,4,18,5,3.9
2021-05-04 01:24:00,Céline Dion,Let's Talk About Love,4,18,5,5.21
2021-05-04 01:28:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),4,18,5,3.68
2021-05-04 01:31:00,Ed Sheeran,Afterglow,4,18,5,3.09
2021-05-04 01:36:00,Céline Dion,The Power of Love,4,18,5,5.17
2021-05-04 14:49:00,Taylor Swift,Untouchable (Taylor’s Version),4,18,5,5.2
2021-05-04 14:51:00,Taylor Swift,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),4,18,5,2.04
2021-05-05 00:13:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),5,18,5,3.68
2021-05-05 00:15:00,Lea Salonga,A Whole New World,5,18,5,2.68
2021-05-05 00:19:00,Alan Walker,Faded,5,18,5,3.54
2021-05-05 00:28:00,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",5,18,5,4.67
2021-05-05 00:31:00,Alan Walker,Darkside,5,18,5,3.53
2021-05-05 00:40:00,Taylor Swift,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),5,18,5,3.16
2021-05-05 00:44:00,Taylor Swift,august,5,18,5,4.37
2021-05-05 00:45:00,Taylor Swift,Our Song,5,18,5,0.54
2021-05-05 00:50:00,Taylor Swift,Untouchable (Taylor’s Version),5,18,5,5.2
2021-05-05 00:53:00,Miranda Lambert,Settling Down,5,18,5,3.29
2021-05-05 00:56:00,Shawn Mendes,Señorita,5,18,5,3.18
2021-05-05 01:00:00,Taylor Swift,Our Song,5,18,5,3.35
2021-05-05 01:03:00,Céline Dion,I'm Alive,5,18,5,3.5
2021-05-05 01:06:00,Maren Morris,The Bones,5,18,5,3.29
2021-05-05 01:11:00,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",5,18,5,4.67
2021-05-05 01:14:00,Alan Walker,Fake A Smile,5,18,5,2.8
2021-05-05 01:17:00,Taylor Swift,willow,5,18,5,3.58
2021-05-05 01:22:00,Céline Dion,I Surrender,5,18,5,4.8
2021-05-05 01:26:00,Taylor Swift,champagne problems,5,18,5,4.07
2021-05-05 01:29:00,Shawn Mendes,Where Were You In The Morning?,5,18,5,3.34
2021-05-05 01:34:00,Taylor Swift,evermore (feat. Bon Iver),5,18,5,5.07
2021-05-05 01:39:00,Taylor Swift,exile (feat. Bon Iver),5,18,5,4.76
2021-05-05 01:42:00,Dua Lipa,Don't Start Now,5,18,5,3.05
2021-05-05 01:46:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",5,18,5,3.74
2021-05-05 01:49:00,Taylor Swift,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),5,18,5,3.16
2021-05-05 01:53:00,Taylor Swift,august,5,18,5,4.37
2021-05-05 01:57:00,Maren Morris,The Bones - with Hozier,5,18,5,3.29
2021-05-05 02:01:00,Taylor Swift,cardigan,5,18,5,3.99
2021-05-05 02:03:00,Lea Salonga,A Whole New World,5,18,5,2.68
2021-05-05 02:07:00,Céline Dion,Right In Front of You,5,18,5,4.23
2021-05-05 02:11:00,Dua Lipa,Levitating,5,18,5,3.4
2021-05-05 02:14:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),5,18,5,3.68
2021-05-05 02:18:00,Ed Sheeran,Shape of You,5,18,5,3.9
2021-05-05 02:23:00,Céline Dion,Let's Talk About Love,5,18,5,5.21
2021-05-05 02:26:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),5,18,5,1.02
2021-05-05 04:23:00,Dua Lipa,Levitating,5,18,5,2.38
2021-05-05 05:15:00,Taylor Swift,willow,5,18,5,3.58
2021-05-05 05:35:00,Harry Styles,Watermelon Sugar,5,18,5,2.9
2021-05-05 05:38:00,Taylor Swift,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),5,18,5,3.16
2021-05-05 05:41:00,Harry Styles,Watermelon Sugar,5,18,5,2.9
2021-05-05 05:45:00,Maren Morris,The Bones - with Hozier,5,18,5,3.29
2021-05-05 05:48:00,Alan Walker,Faded,5,18,5,3.54
2021-05-05 05:53:00,Taylor Swift,evermore (feat. Bon Iver),5,18,5,5.07
2021-05-05 15:07:00,Taylor Swift,Untouchable (Taylor’s Version),5,18,5,5.2
2021-05-05 15:11:00,Taylor Swift,We Were Happy (Taylor’s Version) (From The Vault),5,18,5,4.07
2021-05-05 15:15:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),5,18,5,3.68
2021-05-05 15:28:00,Taylor Swift,Forever & Always (Taylor’s Version),5,18,5,3.42
2021-05-06 00:08:00,Céline Dion,I'm Alive,6,18,5,3.5
2021-05-06 00:11:00,Taylor Swift,willow,6,18,5,3.58
2021-05-06 00:15:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),6,18,5,3.68
2021-05-06 00:23:00,Alan Walker,Faded,6,18,5,3.54
2021-05-06 00:32:00,Shawn Mendes,There's Nothing Holdin' Me Back,6,18,5,3.32
2021-05-06 00:34:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),6,18,5,1.88
2021-05-06 00:36:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),6,18,5,2.67
2021-05-06 00:41:00,Céline Dion,Right In Front of You,6,18,5,4.23
2021-05-06 00:44:00,Maren Morris,The Bones,6,18,5,3.29
2021-05-06 00:50:00,Céline Dion,The Power of Love,6,18,5,5.71
2021-05-06 00:54:00,Céline Dion,I Surrender,6,18,5,4.8
2021-05-06 00:57:00,Taylor Swift,august,6,18,5,2.73
2021-05-06 01:01:00,Taylor Swift,hoax,6,18,5,3.67
2021-05-06 01:05:00,Taylor Swift,my tears ricochet,6,18,5,4.26
2021-05-06 01:08:00,Taylor Swift,this is me trying,6,18,5,3.25
2021-05-06 01:10:00,Taylor Swift,peace,6,18,5,1.93
2021-05-06 01:15:00,Taylor Swift,exile (feat. Bon Iver),6,18,5,4.76
2021-05-06 01:19:00,Taylor Swift,mad woman,6,18,5,3.95
2021-05-06 01:22:00,Taylor Swift,the 1,6,18,5,3.5
2021-05-06 01:26:00,Taylor Swift,invisible string,6,18,5,4.21
