Book Id,Title,Author,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count,Series
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,9.78E+12,5,4.17,Tor Books,814,1990,1990,07/20/2020,02/26/2020,favorites,1,The Wheel of Time
16031812,"A Memory of Light (Wheel of Time, #14)",Robert Jordan,,5,4.5,Tor Books,1025,2013,2013,08/11/2020,08/09/2020,"books_worth_rereading, favorites",1,The Wheel of Time
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,,5,4.09,"Little, Brown Books for Young Readers",370,2018,2018,08/26/2020,04/25/2020,"books_i_own, favorites",1,The Folk of the Air
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,9.78E+12,5,4.54,DAW Books,994,2011,2011,03/26/2020,03/25/2020,"books_worth_rereading, favorites, books_i_own",2,The Kingkiller Chronicle
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,9.78E+12,5,4.33,"Little, Brown Books for Young Readers",336,2019,2019,08/27/2020,04/25/2020,books_i_own,1,The Folk of the Air
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,9.78E+12,5,4.35,Tor Books,590,2007,2007,04/05/2020,03/30/2020,"books_worth_rereading, favorites, books_i_own",1,Mistborn
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,9.78E+12,5,4.34,Puffin Books,320,2007,2007,10/13/2020,02/26/2020,books_i_own,2,Percy Jackson and the Olympians
42769202,"Starsight (Skyward, #2)",Brandon Sanderson,9.78E+12,5,4.42,Orion Publishing Co,461,2019,2019,07/13/2020,07/03/2020,books_i_own,1,Skyward
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,9.78E+12,5,4.5,Gollancz,513,2018,2018,07/05/2020,07/03/2020,"books_worth_rereading, favorites, books_i_own",1,Skyward
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,9.78E+12,5,4.24,Hyperion Books,279,2006,2006,10/13/2020,04/02/2020,books_i_own,2,Percy Jackson and the Olympians
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,9.78E+12,5,4.44,Tor Books,541,2006,2006,03/30/2020,03/26/2020,"books_worth_rereading, favorites, books_i_own",2,Mistborn
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,9.78E+12,5,4.51,Penguin Group DAW,662,2007,2007,03/24/2020,02/27/2020,"books_worth_rereading, favorites, books_i_own",2,The Kingkiller Chronicle
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,9.78E+12,5,4.48,Tor Books,572,2008,2008,04/08/2020,03/30/2020,"books_worth_rereading, favorites, books_i_own",1,Mistborn
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,9.78E+12,4,4.13,Margaret K. McElderry Books,453,2008,2008,10/05/2020,04/11/2020,books_i_own,1,The Mortal Instruments
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,9.78E+12,5,4.4,Bantam,969,2002,1998,12/13/2020,02/26/2020,books_i_own,1,A Song of Ice and Fire
28006109,"The Tyrant’s Tomb (The Trials of Apollo, #4)",Rick Riordan,9.78E+12,5,4.34,Disney-Hyperion,439,2019,2019,05/09/2020,02/26/2020,books_i_own,1,The Trials of Apollo
7541858,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,,4,4.08,Margaret K. McElderry Books,485,2009,2007,10/04/2020,02/26/2020,books_i_own,1,The Mortal Instruments
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,,5,4.39,Hyperion Books for Children,361,2008,2008,10/14/2020,02/26/2020,books_i_own,2,Percy Jackson and the Olympians
65605,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,9.78E+12,4,4.04,HarperCollins Publishers,221,2005,1955,11/04/2020,07/13/2020,unfinished_series,1,Chronicles of Narnia
23174274,"Glass Sword (Red Queen, #2)",Victoria Aveyard,9.78E+12,4,3.84,HarperTeen,444,2016,2016,09/02/2020,09/01/2020,"gave_up, unfinished_series",1,Red Queen
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,9.78E+12,5,4.03,HarperTeen,383,2015,2015,09/01/2020,08/31/2020,unfinished_series,1,Red Queen
13612965,"The Bronze Key (Magisterium,  #3)",Holly Black,9.78E+12,5,4.1,Scholastic,249,2016,2016,11/08/2020,11/08/2020,favorites,1,Magisterium
1166599,"The Gathering Storm (The Wheel of Time, #12)",Robert Jordan,9.78E+12,5,4.37,Tor Books,783,2009,2009,08/08/2020,07/08/2020,"books_worth_rereading, favorites",1,The Wheel of Time
18635016,"The One (The Selection, #3)",Kiera Cass,9.78E+12,4,4.18,HarperTeen,323,2014,2014,08/31/2020,08/30/2020,"books_worth_rereading, favorites",1,The Selection
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,9.78E+12,5,4.23,Del Rey,382,2014,2014,09/29/2020,09/24/2020,"books_worth_rereading, favorites",1,Red Rising Saga
1268479,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,,5,4.27,Self-published,688,2009,2009,06/27/2020,06/14/2020,"books_worth_rereading, favorites",1,Warbreaker
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,9.78E+12,5,4.73,Tor Books,1087,2014,2014,06/14/2020,05/25/2020,"books_worth_rereading, favorites",1,The Stormlight Archive
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,9.78E+12,5,4.61,Tor Books,1007,2010,2010,06/09/2020,02/26/2020,"books_worth_rereading, favorites",1,The Stormlight Archive
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,9.78E+12,5,4.21,Harpertorch,243,2001,1987,12/01/2020,11/27/2020,read,1,Discworld
26114421,"The Dark Talent (Alcatraz, #5)",Brandon Sanderson,9.78E+12,5,4.1,Starscape,281,2016,2016,11/25/2020,11/25/2020,read,1,Alcatraz
7740659,"Alcatraz Versus the Shattered Lens (Alcatraz, #4)",Brandon Sanderson,9.78E+12,4,4.13,Scholastic Press,294,2010,2010,11/25/2020,11/24/2020,read,1,Alcatraz
53439886,"How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5)",Holly Black,9.78E+12,4,4.25,"Little, Brown Books for Young Readers",200,2020,2020,11/25/2020,11/05/2020,read,1,The Folk of the Air
6366110,"Alcatraz Versus the Knights of Crystallia (Alcatraz, #3)",Brandon Sanderson,9.78E+12,4,4.12,Scholastic Press,299,2009,2009,11/24/2020,11/23/2020,read,1,Alcatraz
3485562,"Alcatraz Versus the Scrivener's Bones (Alcatraz, #2)",Brandon Sanderson,9.78E+12,5,4.13,Scholastic Press,322,2008,2008,11/23/2020,11/16/2020,read,1,Alcatraz
17250966,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,,5,4.62,Tor Books,1270,2020,2020,11/21/2020,05/25/2020,read,1,The Stormlight Archive
623976,"Alcatraz Versus the Evil Librarians (Alcatraz, #1)",Brandon Sanderson,9.78E+12,4,3.9,Scholastic Press,308,2007,2007,11/16/2020,11/16/2020,read,1,Alcatraz
54511226,"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson,,5,4.54,Dragonsteel Entertainment,171,2020,2020,11/10/2020,11/07/2020,read,1,The Stormlight Archive
13612970,"The Golden Tower (Magisterium, #5)",Holly Black,9.78E+12,4,4.03,Scholastic Inc.,256,2018,2018,11/09/2020,11/09/2020,read,1,Magisterium
13612968,The Silver Mask (Magisterium #4),Holly Black,9.78E+12,4,4.07,Scholastic Press,200,2017,2017,11/09/2020,11/08/2020,read,1,Magisterium
13612962,"The Copper Gauntlet (Magisterium, #2)",Holly Black,9.78E+12,5,4.13,Scholastic Press,264,2015,2015,11/08/2020,11/07/2020,read,1,Magisterium
20578940,"The Iron Trial (Magisterium, #1)",Holly Black,9.78E+12,5,3.95,Scholastic Press,295,2014,2014,11/07/2020,11/05/2020,read,1,Magisterium
36111098,"The Light of All That Falls (The Licanius Trilogy, #3)",James Islington,9.78E+12,5,4.41,Orbit,864,2019,2019,10/30/2020,10/28/2020,read,1,The Licanius Trilogy
22443261,"The Rithmatist (The Rithmatist, #1)",Brandon Sanderson,,5,4.2,Tor UK,353,2014,2013,10/30/2020,07/05/2020,read,1,The Rithmatist
32498052,"An Echo of Things to Come (The Licanius Trilogy, #2)",James Islington,9.78E+12,5,4.26,Orbit,752,2017,2017,10/28/2020,10/25/2020,read,1,The Licanius Trilogy
22878967,"The Shadow of What Was Lost (The Licanius Trilogy, #1)",James Islington,9.78E+12,5,4.14,Aslaradis Publishing,602,2014,2014,10/25/2020,10/21/2020,read,1,The Licanius Trilogy
25300956,"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,,4,4.23,Spectra,675,2002,1996,10/21/2020,09/21/2020,read,1,Farseer Trilogy
