Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count,Series
12432220,"The False Prince (Ascendance, #1)",Jennifer A. Nielsen,0545284139,9780545284134.0,5,4.22,"Scholastic, Inc.",342,2012.0,2012.0,2022-12-22,2022-12-21,read,1,Ascendance
28588345,"The Midnight Star (The Young Elites, #3)",Marie Lu,0399167854,9780399167850.0,4,4.12,G.P. Putnam's Sons Books for Young Readers,316,2016.0,2016.0,2022-12-21,2021-04-18,read,1,The Young Elites
53023305,"Amari and the Great Game (Supernatural Investigations, #2)",B.B. Alston,,,5,4.41,Balzer + Bray,400,2022.0,2022.0,2022-12-19,2022-12-16,read,1,Supernatural Investigations
23846013,"The Rose Society (The Young Elites, #2)",Marie Lu,0399167846,9780399167843.0,5,4.04,G.P. Putnam's Sons Books for Young Readers,398,2015.0,2015.0,2022-12-18,2021-04-18,read,1,The Young Elites
20821111,"The Young Elites (The Young Elites, #1)",Marie Lu,0399167838,9780399167836.0,4,3.88,G.P. Putnam’s Sons Books for Young Readers,355,2014.0,2014.0,2022-12-17,2021-04-18,"try_it_later, read",1,The Young Elites
53240817,"Amari and the Night Brothers (Supernatural Investigations, #1)",B.B. Alston,,,4,4.43,Balzer + Bray,416,2021.0,2021.0,2022-12-16,2022-12-16,read,1,Supernatural Investigations
23106013,"Battle Ground (The Dresden Files, #17)",Jim Butcher,0593199308,9780593199305.0,5,4.41,Ace,418,2020.0,2020.0,2022-12-16,2022-08-02,read,1,The Dresden Files
33986067,Deep Learning with Python,François Chollet,1617294438,9781617294433.0,5,4.58,Manning,350,2017.0,2017.0,2022-12-15,2021-12-17,"data_science, read",1,Stand Alone
19486421,"Skin Game (The Dresden Files, #15)",Jim Butcher,0451464397,9780451464392.0,5,4.56,Roc,454,2014.0,2014.0,2022-10-21,2021-04-21,read,1,The Dresden Files
49381341,"Peace Talks (The Dresden Files, #16)",Jim Butcher,0451464419,9780451464415.0,5,4.21,Ace,340,2020.0,2020.0,2022-11-09,2021-04-21,read,1,The Dresden Files
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,0765391198,9780765391193.0,5,4.53,Tor Books,507,2022.0,2022.0,2022-11-20,2020-07-03,read,1,Mistborn
59808314,"Bastille vs. the Evil Librarians (Alcatraz vs. the Evil Librarians, #6)",Brandon Sanderson,1250811066,9781250811066.0,5,4.13,Starscape,256,2022.0,2022.0,2022-10-02,2022-10-01,read,1,Alcatraz vs. the Evil Librarians
12216302,"Cold Days (The Dresden Files, #14)",Jim Butcher,0451464400,9780451464408.0,5,4.48,Penguin Group (USA),515,2012.0,2012.0,2022-09-03,2021-04-21,read,1,The Dresden Files
8058301,"Ghost Story (The Dresden Files, #13)",Jim Butcher,045146379X,9780451463791.0,4,4.25,Roc Hardcover,481,2011.0,2011.0,2022-08-10,2022-08-02,read,1,The Dresden Files
6585201,"Changes (The Dresden Files, #12)",Jim Butcher,045146317X,9780451463173.0,5,4.5,Roc,438,2010.0,2010.0,2022-08-01,2021-04-21,read,1,The Dresden Files
3475161,"Turn Coat (The Dresden Files, #11)",Jim Butcher,0451462564,9780451462565.0,5,4.44,Roc,418,2009.0,2009.0,2022-07-20,2021-04-21,read,1,The Dresden Files
927979,"Small Favor (The Dresden Files, #10)",Jim Butcher,0451461894,9780451461896.0,5,4.44,Roc,545,2008.0,2008.0,2022-06-21,2021-04-21,read,1,The Dresden Files
17397466,An Introduction to Statistical Learning: With Applications in R,Gareth James,1461471370,9781461471370.0,5,4.6,Springer,426,2017.0,2013.0,2022-06-08,2021-11-21,"data_science, read",1,Stand Alone
91475,"White Night (The Dresden Files, #9)",Jim Butcher,0451461401,9780451461407.0,5,4.39,Roc,407,2007.0,2007.0,2022-06-04,2021-04-21,read,1,The Dresden Files
25877663,"Babylon's Ashes (The Expanse, #6)",James S.A. Corey,0356504263,9780356504261.0,5,4.24,Orbit,538,2016.0,2016.0,2022-05-30,2022-01-23,read,1,The Expanse
17683,"Dead Beat (The Dresden Files, #7)",Jim Butcher,045146091X,9780451460912.0,5,4.41,Roc,517,2006.0,2005.0,2022-05-19,2021-04-21,read,1,The Dresden Files
22886612,"Nemesis Games (The Expanse, #5)",James S.A. Corey,,,5,4.43,Orbit,536,2015.0,2015.0,2022-05-08,2022-01-23,read,1,The Expanse
99383,"Blood Rites (The Dresden Files, #6)",Jim Butcher,0451459873,9780451459879.0,4,4.3,Roc,372,2004.0,2004.0,2022-04-30,2021-04-21,read,1,The Dresden Files
91479,"Death Masks (The Dresden Files, #5)",Jim Butcher,0451459407,9780451459404.0,5,4.29,Roc,432,2003.0,2003.0,2022-04-21,2021-04-21,read,1,The Dresden Files
18656030,"Cibola Burn (The Expanse, #4)",James S.A. Corey,,,5,4.21,Orbit,581,2014.0,2014.0,2022-04-17,2022-01-23,read,1,The Expanse
55262194,The Lightning Tree,Patrick Rothfuss,,,4,4.0,,93,2014.0,2014.0,2022-04-16,2022-04-16,read,1,Stand Alone
16131032,"Abaddon's Gate (The Expanse, #3)",James S.A. Corey,,,5,4.26,Orbit,539,2013.0,2013.0,2022-02-24,2022-01-23,read,1,The Expanse
12591698,"Caliban's War (The Expanse, #2)",James S.A. Corey,1841499900,9781841499901.0,5,4.37,"Orbit/Little, Brown Book Group",624,2012.0,2012.0,2022-01-28,2022-01-23,read,1,The Expanse
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,1841499889,9781841499888.0,5,4.29,Orbit,592,2011.0,2011.0,2022-01-23,2021-10-30,read,1,The Expanse
58465495,"Evershore (Skyward, #3.1)",Brandon Sanderson,,9780593566633.0,5,4.42,Delacorte Press,234,2021.0,2021.0,2022-01-06,2021-11-22,read,1,Skyward
22514127,Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Al Sweigart,1593275994,9781593275990.0,5,4.29,No Starch Press,479,2015.0,2014.0,2021-11-29,2021-11-21,"programming, read",1,Stand Alone
34601024,"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,,,5,4.56,O'Reilly Media,566,2017.0,2017.0,2021-12-17,2021-11-27,"data_science, read",1,Stand Alone
57094644,Daughter of the Deep,Rick Riordan,1368077927,9781368077927.0,5,4.24,Disney-Hyperion,352,2021.0,2021.0,2021-12-22,2021-09-21,read,1,Stand Alone
44492285,"Dune Messiah (Dune, #2)",Frank Herbert,0593098234,9780593098233.0,4,3.89,Ace Books,337,2019.0,1969.0,2021-12-16,2021-09-17,read,1,Dune
43606157,"Cytonic (Skyward, #3)",Brandon Sanderson,1473217938,9781473217935.0,5,4.1,Gollancz,432,2021.0,2021.0,2021-12-02,2021-05-26,read,1,Skyward
44767458,"Dune (Dune, #1)",Frank Herbert,059309932X,9780593099322.0,5,4.25,Ace Books,658,2019.0,1965.0,2021-11-08,2020-04-11,read,1,Dune
57903879,"ReDawn (Skyward, #2.2)",Brandon Sanderson,,9780593566626.0,5,4.22,Delacorte Press,229,2021.0,2021.0,2021-11-05,2021-05-26,read,1,Skyward
57903876,"Sunreach (Skyward, #2.1)",Brandon Sanderson,,9780593566619.0,5,4.18,Delacorte Press,208,2021.0,2021.0,2021-09-29,2021-05-26,read,1,Skyward
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,0393355640,9780393355642.0,5,4.18,W. W. Norton  Company,288,2018.0,1988.0,2021-09-09,2021-08-16,read,1,Stand Alone
35959740,Circe,Madeline Miller,0316556343,9780316556347.0,5,4.25,"Little, Brown and Company",393,2018.0,2018.0,2021-08-31,2020-06-19,read,1,Stand Alone
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,0751532711,9780751532715.0,5,4.12,Time Warner Books UK,195,2007.0,1997.0,2021-08-19,2021-07-06,read,1,Stand Alone
19063,The Book Thief,Markus Zusak,,,5,4.39,Alfred A. Knopf,552,2006.0,2006.0,2021-08-13,2021-07-24,"favorites, read",1,Stand Alone
31817749,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,,,5,4.35,Orbit,416,2017.0,2017.0,2021-07-29,2021-06-04,read,1,The Broken Earth
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,,,5,4.31,Orbit,410,2016.0,2016.0,2021-07-12,2021-06-04,read,1,The Broken Earth
817589,Learn to Earn: A Beginner's Guide to the Basics of Investing and Business,Peter Lynch,0684811634,9780684811635.0,5,4.04,Simon  Schuster,272,1996.0,1995.0,2021-07-11,2021-07-06,read,1,Stand Alone
17999205,Computing with Quantum Cats: From Colossus to Qubits,John Gribbin,0593071158,9780593071151.0,5,3.76,Bantam Press,304,2013.0,2013.0,2021-07-03,2021-05-08,read,1,Stand Alone
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,,,5,4.32,Orbit,468,2015.0,2015.0,2021-06-26,2021-06-04,read,1,The Broken Earth
8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,,,5,4.21,Del Rey,250,2005.0,1980.0,2021-06-21,2021-05-29,read,1,Hitchhiker's Guide to the Galaxy
54513688,"Realm Breaker (Realm Breaker, #1)",Victoria Aveyard,,,3,3.65,Orion Publishing,576,2021.0,2021.0,2021-06-15,2021-06-09,read,1,Realm Breaker
386162,"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,,,5,4.23,Del Rey,193,2007.0,1979.0,2021-06-08,2021-05-29,"books_worth_rereading, favorites, read",1,The Hitchhiker's Guide to the Galaxy
31520883,"A ​Sky Beyond the Storm (An Ember in the Ashes, #4)",Sabaa Tahir,000828881X,9780008288815.0,4,4.34,Razorbill,516,2021.0,2020.0,2021-06-04,2021-05-28,read,1,An Ember in the Ashes
4671,The Great Gatsby,F. Scott Fitzgerald,,,4,3.93,Scribner,180,2004.0,1925.0,2021-05-29,2020-04-11,"books_i_own, read",1,Stand Alone
30809786,"A Reaper at the Gates (An Ember in the Ashes, #3)",Sabaa Tahir,0448494507,9780448494500.0,5,4.19,Razorbill,458,2018.0,2018.0,2021-05-28,2021-05-14,read,1,An Ember in the Ashes
27774758,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,,,4,4.26,Razorbill,446,2016.0,2015.0,2021-05-17,2021-05-14,read,1,An Ember in the Ashes
25591568,"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,,,3,4.25,Razorbill,467,2016.0,2016.0,2021-05-20,2021-05-14,read,1,An Ember in the Ashes
30169100,"The Burning White (Lightbringer, #5)",Brent Weeks,0316251305,9780316251303.0,5,4.27,Orbit,992,2019.0,2019.0,2021-05-13,2021-05-01,read,1,Lightbringer
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,,,5,4.49,Henry Holt & Company,465,2015.0,2015.0,2021-03-12,2021-03-11,"favorites, books_worth_rereading, books_i_own, read",1,Six of Crows
