Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count
17667561,"The Shadow Throne (Ascendance, #3)",Jennifer A. Nielsen,,,0,4.25,Scholastic Press,336.0,2014.0,2014.0,,2022-12-22,to-read,0
15703770,"The Runaway King (Ascendance, #2)",Jennifer A. Nielsen,0545284155,9780545284158,0,4.24,Scholastic Press,331.0,2013.0,2013.0,2022-12-26,2022-12-22,to-read,0
12432220,"The False Prince (Ascendance, #1)",Jennifer A. Nielsen,0545284139,9780545284134,5,4.22,"Scholastic, Inc.",342.0,2012.0,2012.0,2022-12-22,2022-12-21,read,1
56896065,"The Marvellers (Marvellerverse, #1)",Dhonielle Clayton,1250174945,9781250174949,0,4.14,Henry Holt and Co. (BYR),416.0,2022.0,2022.0,,2022-12-20,to-read,0
28588345,"The Midnight Star (The Young Elites, #3)",Marie Lu,0399167854,9780399167850,4,4.12,G.P. Putnam's Sons Books for Young Readers,316.0,2016.0,2016.0,2022-12-21,2021-04-18,read,1
53023305,"Amari and the Great Game (Supernatural Investigations, #2)",B.B. Alston,,,5,4.41,Balzer + Bray,400.0,2022.0,2022.0,2022-12-19,2022-12-16,read,1
23846013,"The Rose Society (The Young Elites, #2)",Marie Lu,0399167846,9780399167843,5,4.04,G.P. Putnam's Sons Books for Young Readers,398.0,2015.0,2015.0,2022-12-18,2021-04-18,read,1
20821111,"The Young Elites (The Young Elites, #1)",Marie Lu,0399167838,9780399167836,4,3.88,G.P. Putnam’s Sons Books for Young Readers,355.0,2014.0,2014.0,2022-12-17,2021-04-18,"try_it_later, read",1
53240817,"Amari and the Night Brothers (Supernatural Investigations, #1)",B.B. Alston,,,4,4.43,Balzer + Bray,416.0,2021.0,2021.0,2022-12-16,2022-12-16,read,1
23106013,"Battle Ground (The Dresden Files, #17)",Jim Butcher,0593199308,9780593199305,5,4.41,Ace,418.0,2020.0,2020.0,2022-12-16,2022-08-02,read,1
