endTime,artistName,trackName,Day,Week,Month,Minutes Played
2021-04-01 00:33:00,Céline Dion,Let's Talk About Love,1,13,4,5.21
2021-04-01 00:36:00,Shawn Mendes,There's Nothing Holdin' Me Back,1,13,4,3.32
2021-04-01 00:40:00,Taylor Swift,champagne problems,1,13,4,4.07
2021-04-01 00:43:00,Lea Salonga,A Whole New World,1,13,4,2.68
2021-04-01 00:46:00,Harry Styles,Watermelon Sugar,1,13,4,2.9
2021-04-01 01:04:00,Taylor Swift,august,1,13,4,4.37
2021-04-01 01:08:00,Miranda Lambert,Settling Down,1,13,4,3.29
2021-04-01 01:10:00,Alan Walker,Faded,1,13,4,1.86
2021-04-01 01:50:00,Dua Lipa,Levitating,1,13,4,1.97
2021-04-01 01:54:00,Alan Walker,Faded,1,13,4,3.54
2021-04-01 01:57:00,Maren Morris,The Bones - with Hozier,1,13,4,3.29
2021-04-01 02:01:00,Céline Dion,Right In Front of You,1,13,4,4.23
2021-04-01 02:05:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),1,13,4,3.68
2021-04-01 02:09:00,Taylor Swift,Love Story,1,13,4,3.92
2021-04-01 02:12:00,Shawn Mendes,There's Nothing Holdin' Me Back,1,13,4,3.32
2021-04-01 02:16:00,Taylor Swift,champagne problems,1,13,4,4.07
2021-04-01 02:21:00,Céline Dion,I Surrender,1,13,4,4.8
2021-04-01 02:24:00,Taylor Swift,Our Song,1,13,4,3.35
2021-04-01 02:27:00,Dua Lipa,Don't Start Now,1,13,4,3.05
2021-04-01 02:33:00,Céline Dion,The Power of Love,1,13,4,5.71
2021-04-01 02:36:00,Shawn Mendes,Señorita,1,13,4,3.18
2021-04-01 02:41:00,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",1,13,4,4.67
2021-04-01 02:43:00,Harry Styles,Watermelon Sugar,1,13,4,2.9
2021-04-01 02:47:00,Shawn Mendes,Where Were You In The Morning?,1,13,4,3.34
2021-04-01 02:50:00,Ed Sheeran,Afterglow,1,13,4,3.09
2021-04-01 02:54:00,Ed Sheeran,Perfect,1,13,4,4.39
2021-04-01 02:57:00,Tape Machines,Lost You,1,13,4,3.03
2021-04-01 03:00:00,Miranda Lambert,Settling Down,1,13,4,3.29
2021-04-01 03:04:00,Taylor Swift,willow,1,13,4,3.58
2021-04-01 03:08:00,Ed Sheeran,Shape of You,1,13,4,3.9
2021-04-01 03:12:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",1,13,4,3.74
2021-04-01 03:16:00,Taylor Swift,august,1,13,4,4.37
2021-04-01 03:21:00,Céline Dion,Let's Talk About Love,1,13,4,5.21
2021-04-01 03:24:00,Lea Salonga,A Whole New World,1,13,4,2.68
2021-04-01 03:27:00,Maren Morris,The Bones,1,13,4,2.98
2021-04-01 03:31:00,Harry Styles,Watermelon Sugar,1,13,4,2.9
2021-04-01 03:34:00,Dua Lipa,Levitating,1,13,4,3.4
2021-04-01 03:35:00,Miranda Lambert,Settling Down,1,13,4,0.51
2021-04-01 03:38:00,Harry Styles,Watermelon Sugar,1,13,4,2.89
2021-04-01 03:41:00,Dua Lipa,Levitating,1,13,4,3.4
2021-04-01 03:44:00,Taylor Swift,willow,1,13,4,3.58
2021-04-01 03:48:00,Céline Dion,I'm Alive,1,13,4,3.5
2021-04-01 03:50:00,Miranda Lambert,Settling Down,1,13,4,2.26
2021-04-01 03:51:00,Miranda Lambert,Settling Down,1,13,4,0.56
2021-04-01 03:57:00,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",1,13,4,4.67
2021-04-01 04:03:00,Céline Dion,The Power of Love,1,13,4,5.71
2021-04-01 04:06:00,Miranda Lambert,Settling Down,1,13,4,3.29
2021-04-01 04:10:00,Alan Walker,Darkside,1,13,4,3.53
2021-04-01 04:13:00,Dua Lipa,Don't Start Now,1,13,4,3.05
2021-04-01 04:17:00,Taylor Swift,champagne problems,1,13,4,4.07
2021-04-01 04:35:00,Ed Sheeran,Perfect,1,13,4,2.76
2021-04-01 06:20:00,Maren Morris,The Bones - with Hozier,1,13,4,3.29
2021-04-01 06:25:00,Taylor Swift,august,1,13,4,4.37
2021-04-01 06:28:00,Dua Lipa,Levitating,1,13,4,3.4
2021-04-01 06:31:00,Dua Lipa,Don't Start Now,1,13,4,3.05
2021-04-01 06:34:00,Tape Machines,Lost You,1,13,4,3.03
2021-04-01 06:37:00,Harry Styles,Watermelon Sugar,1,13,4,2.9
2021-04-01 06:41:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),1,13,4,3.68
2021-04-01 06:44:00,Ed Sheeran,Afterglow,1,13,4,3.09
2021-04-01 07:40:00,Taylor Swift,august,1,13,4,4.37
2021-04-01 07:43:00,Dua Lipa,Levitating,1,13,4,3.4
2021-04-01 07:46:00,Tape Machines,Lost You,1,13,4,3.03
2021-04-01 07:49:00,Harry Styles,Watermelon Sugar,1,13,4,2.9
2021-04-01 08:17:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),1,13,4,3.68
2021-04-01 08:20:00,Tape Machines,Lost You,1,13,4,3.03
2021-04-01 08:24:00,Maren Morris,The Bones - with Hozier,1,13,4,3.29
2021-04-01 08:28:00,Taylor Swift,august,1,13,4,4.37
2021-04-01 08:31:00,Miranda Lambert,Settling Down,1,13,4,3.29
2021-04-01 08:33:00,Ed Sheeran,Afterglow,1,13,4,1.25
2021-04-01 08:36:00,Dua Lipa,Levitating,1,13,4,3.4
2021-04-01 08:39:00,Harry Styles,Watermelon Sugar,1,13,4,2.9
2021-04-01 08:53:00,Maren Morris,The Bones,1,13,4,3.12
2021-04-01 11:28:00,Harry Styles,Watermelon Sugar,1,13,4,2.27
