endTime,artistName,trackName,Day,Week,Month,Minutes Played
2021-02-24 11:03:00,Christina Perri,A Thousand Years,24,8,2,3.36
2021-07-13 06:31:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 07:04:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 07:13:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 12:56:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 15:19:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 15:27:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 15:35:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 15:43:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 15:57:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 16:05:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 16:16:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 16:20:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 16:22:00,Christina Perri,A Thousand Years,13,28,7,1.65
2021-07-13 16:27:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 16:32:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 16:36:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 16:41:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 16:46:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 16:50:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 16:55:00,Christina Perri,A Thousand Years,13,28,7,4.75
2021-07-13 16:56:00,Christina Perri,A Thousand Years,13,28,7,0.79
2021-07-14 02:30:00,Christina Perri,A Thousand Years,14,28,7,4.75
2021-07-14 02:44:00,Christina Perri,A Thousand Years,14,28,7,4.75
2021-07-14 03:40:00,Christina Perri,A Thousand Years,14,28,7,4.75
2021-07-14 04:27:00,Christina Perri,A Thousand Years,14,28,7,8.36
2021-07-14 12:23:00,Christina Perri,A Thousand Years,14,28,7,5.21
2021-07-14 13:44:00,Christina Perri,A Thousand Years,14,28,7,4.75
2021-07-14 14:10:00,Christina Perri,A Thousand Years,14,28,7,4.75
2021-07-14 14:18:00,Christina Perri,A Thousand Years,14,28,7,4.75
2021-07-14 16:47:00,Christina Perri,A Thousand Years,14,28,7,4.75
2021-07-14 16:55:00,Christina Perri,A Thousand Years,14,28,7,4.75
2021-07-14 17:26:00,Christina Perri,A Thousand Years,14,28,7,5.81
2021-07-15 02:15:00,Christina Perri,A Thousand Years,15,28,7,4.75
2021-07-15 02:24:00,Christina Perri,A Thousand Years,15,28,7,4.75
2021-07-15 03:39:00,Christina Perri,A Thousand Years,15,28,7,4.75
2021-07-15 03:51:00,Christina Perri,A Thousand Years,15,28,7,4.75
2021-07-15 03:56:00,Christina Perri,A Thousand Years,15,28,7,4.75
2021-07-15 04:57:00,Christina Perri,A Thousand Years,15,28,7,0.73
2021-07-15 07:33:00,Christina Perri,A Thousand Years,15,28,7,4.75
2021-07-15 13:50:00,Christina Perri,A Thousand Years,15,28,7,4.75
2021-07-15 14:04:00,Christina Perri,A Thousand Years,15,28,7,4.75
2021-07-15 14:19:00,Christina Perri,A Thousand Years,15,28,7,4.75
2021-07-15 15:33:00,Christina Perri,A Thousand Years,15,28,7,4.75
2021-07-15 15:58:00,Christina Perri,A Thousand Years,15,28,7,0.87
2021-07-16 02:36:00,Christina Perri,A Thousand Years,16,28,7,4.75
2021-07-16 03:03:00,Christina Perri,A Thousand Years,16,28,7,2.81
2021-07-16 04:25:00,Christina Perri,A Thousand Years,16,28,7,4.75
2021-07-16 13:25:00,Christina Perri,A Thousand Years,16,28,7,4.75
2021-07-16 14:01:00,Christina Perri,A Thousand Years,16,28,7,4.75
2021-07-16 14:41:00,Christina Perri,A Thousand Years,16,28,7,4.75
2021-07-16 15:35:00,Christina Perri,A Thousand Years,16,28,7,2.47
2021-07-17 02:50:00,Christina Perri,A Thousand Years,17,28,7,4.82
2021-07-17 03:05:00,Christina Perri,A Thousand Years,17,28,7,4.75
2021-07-17 07:21:00,Christina Perri,A Thousand Years,17,28,7,4.75
2021-07-17 12:15:00,Christina Perri,A Thousand Years,17,28,7,4.75
2021-07-17 15:02:00,Christina Perri,A Thousand Years,17,28,7,2.77
2021-07-17 15:25:00,Christina Perri,A Thousand Years,17,28,7,4.75
2021-07-18 07:31:00,Christina Perri,A Thousand Years,18,28,7,4.75
2021-07-18 13:50:00,Christina Perri,A Thousand Years,18,28,7,4.75
2021-07-19 02:42:00,Christina Perri,A Thousand Years,19,29,7,4.75
2021-07-19 03:26:00,Christina Perri,A Thousand Years,19,29,7,1.15
2021-07-19 16:40:00,Christina Perri,A Thousand Years,19,29,7,4.82
2021-07-19 17:11:00,Christina Perri,A Thousand Years,19,29,7,3.28
2021-07-20 03:11:00,Christina Perri,A Thousand Years,20,29,7,4.75
2021-07-20 03:36:00,Christina Perri,A Thousand Years,20,29,7,1.56
2021-07-20 07:59:00,Christina Perri,A Thousand Years,20,29,7,4.75
2021-07-20 10:24:00,Christina Perri,A Thousand Years,20,29,7,4.75
2021-07-20 13:27:00,Christina Perri,A Thousand Years,20,29,7,4.75
2021-07-21 03:28:00,Christina Perri,A Thousand Years,21,29,7,2.32
2021-07-21 08:36:00,Christina Perri,A Thousand Years,21,29,7,4.75
2021-07-21 08:51:00,Christina Perri,A Thousand Years,21,29,7,4.75
2021-07-21 09:52:00,Christina Perri,A Thousand Years,21,29,7,4.75
2021-07-21 13:55:00,Christina Perri,A Thousand Years,21,29,7,1.27
2021-07-22 02:08:00,Christina Perri,A Thousand Years,22,29,7,4.75
2021-07-22 04:06:00,Christina Perri,A Thousand Years,22,29,7,4.75
2021-07-22 04:28:00,Christina Perri,A Thousand Years,22,29,7,0.77
2021-07-22 05:20:00,Christina Perri,A Thousand Years,22,29,7,1.93
2021-07-23 10:26:00,Christina Perri,A Thousand Years,23,29,7,4.75
2021-07-24 03:23:00,Christina Perri,A Thousand Years,24,29,7,4.75
2021-07-24 03:41:00,Christina Perri,A Thousand Years,24,29,7,4.75
2021-07-26 06:33:00,Christina Perri,A Thousand Years,26,30,7,4.75
2021-07-27 02:47:00,Christina Perri,A Thousand Years,27,30,7,4.75
2021-07-27 03:11:00,Christina Perri,A Thousand Years,27,30,7,4.75
2021-07-27 09:12:00,Christina Perri,A Thousand Years,27,30,7,4.75
2021-07-28 02:36:00,Christina Perri,A Thousand Years,28,30,7,4.75
2021-07-29 09:25:00,Christina Perri,A Thousand Years,29,30,7,3.65
2021-07-30 02:10:00,Christina Perri,A Thousand Years,30,30,7,4.75
2021-07-30 03:17:00,Christina Perri,A Thousand Years,30,30,7,4.75
2021-07-30 04:05:00,Christina Perri,A Thousand Years,30,30,7,4.75
2021-07-30 05:08:00,Christina Perri,A Thousand Years,30,30,7,4.75
2021-07-31 00:36:00,Christina Perri,A Thousand Years,31,30,7,4.75
2021-07-31 15:45:00,Christina Perri,A Thousand Years,31,30,7,1.71
2021-08-02 11:28:00,Christina Perri,A Thousand Years,2,31,8,4.75
2021-08-02 11:46:00,Christina Perri,A Thousand Years,2,31,8,4.75
2021-08-02 11:58:00,Christina Perri,A Thousand Years,2,31,8,4.75
2021-08-02 15:01:00,Christina Perri,A Thousand Years,2,31,8,4.75
2021-08-04 05:50:00,Christina Perri,A Thousand Years,4,31,8,4.75
2021-08-06 08:32:00,Christina Perri,A Thousand Years,6,31,8,4.75
2021-08-06 09:09:00,Christina Perri,A Thousand Years,6,31,8,4.75
2021-08-09 01:38:00,Christina Perri,A Thousand Years,9,32,8,4.75
2021-08-10 07:23:00,Christina Perri,A Thousand Years,10,32,8,4.75
2021-08-10 15:31:00,Christina Perri,A Thousand Years,10,32,8,1.96
2021-08-11 05:22:00,Christina Perri,A Thousand Years,11,32,8,4.75
2021-08-11 05:32:00,Christina Perri,A Thousand Years,11,32,8,4.75
