endTime,artistName,trackName,Day,Week,Month,Minutes Played
2021-06-01 00:33:00,Taylor Swift,Lover,1,22,6,3.69
2021-06-01 00:37:00,Taylor Swift,Blank Space,1,22,6,3.86
2021-06-01 00:41:00,Taylor Swift,Delicate,1,22,6,3.87
2021-06-01 00:45:00,Céline Dion,Where Does My Heart Beat Now,1,22,6,4.55
2021-06-01 00:48:00,Lea Salonga,A Whole New World,1,22,6,2.68
2021-06-01 00:56:00,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,1,22,6,3.38
2021-06-01 01:13:00,Shawn Mendes,Señorita,1,22,6,2.96
2021-06-01 02:35:00,Shawn Mendes,Señorita,1,22,6,3.18
2021-06-01 02:38:00,Maren Morris,The Bones,1,22,6,3.29
2021-06-01 02:45:00,Taylor Swift,willow,1,22,6,6.62
2021-06-01 03:23:00,Céline Dion,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",1,22,6,4.15
2021-06-01 03:27:00,Taylor Swift,Delicate,1,22,6,3.87
2021-06-01 03:45:00,Taylor Swift,champagne problems,1,22,6,3.09
2021-06-01 07:19:00,Taylor Swift,Lover,1,22,6,3.69
2021-06-01 07:40:00,Justin Bieber,Anyone,1,22,6,3.01
2021-06-01 09:14:00,Céline Dion,The Power of Love,1,22,6,5.71
2021-06-01 09:18:00,Maren Morris,The Bones - with Hozier,1,22,6,3.29
2021-06-01 09:29:00,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",1,22,6,1.53
2021-06-02 00:29:00,Ed Sheeran,Afterglow,2,22,6,0.81
2021-06-02 00:32:00,Shawn Mendes,Mercy,2,22,6,3.48
2021-06-02 00:36:00,Céline Dion,I'm Alive,2,22,6,3.5
2021-06-02 00:46:00,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,2,22,6,3.17
2021-06-02 00:50:00,Taylor Swift,champagne problems,2,22,6,4.07
2021-06-02 01:01:00,Céline Dion,The Power of Love,2,22,6,5.71
2021-06-02 01:05:00,Céline Dion,Right In Front of You,2,22,6,4.23
2021-06-02 01:22:00,Taylor Swift,Our Song,2,22,6,1.93
2021-06-02 14:33:00,Taylor Swift,Delicate,2,22,6,3.87
2021-06-02 15:05:00,Taylor Swift,invisible string,2,22,6,4.21
2021-06-02 15:13:00,Taylor Swift,Untouchable (Taylor’s Version),2,22,6,5.2
2021-06-02 15:17:00,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),2,22,6,3.22
2021-06-02 15:21:00,Taylor Swift,cardigan,2,22,6,3.99
2021-06-02 15:51:00,Taylor Swift,willow,2,22,6,2.19
2021-06-03 00:23:00,Taylor Swift,Enchanted,3,22,6,1.27
2021-06-03 00:26:00,Selena Gomez,Wolves,3,22,6,3.3
2021-06-03 00:29:00,Anne-Marie,2002,3,22,6,3.12
2021-06-03 00:33:00,Selena Gomez,Back To You,3,22,6,3.5
