endTime,artistName,trackName,Day,Week,Month,Minutes Played
2021-01-16 10:24:00,Lata Mangeshkar,Mere Naseeb Mein - Naseeb / Soundtrack Version,16,2,1,0.63
2021-01-16 10:26:00,Lata Mangeshkar,"Dil Hoom Hoom Kare (From ""Rudaali"") - Female Version",16,2,1,1.92
2021-05-25 02:10:00,Lata Mangeshkar,Lag Ja Gale Se Phir,25,21,5,2.49
2021-05-25 02:14:00,Lata Mangeshkar,Lag Ja Gale Se Phir,25,21,5,4.29
2021-05-25 02:29:00,Lata Mangeshkar,Bhor Bhaye Panghat Pe,25,21,5,3.97
2021-05-25 15:05:00,Lata Mangeshkar,Bhor Bhaye Panghat Pe,25,21,5,5.51
2021-05-25 15:12:00,Lata Mangeshkar,Chandni Raat Mein,25,21,5,5.49
2021-06-12 00:40:00,Lata Mangeshkar,Bahon Mein Chale Aao,12,23,6,4.03
2021-06-12 00:44:00,Lata Mangeshkar,Lag Ja Gale Se Phir,12,23,6,4.29
2021-06-12 00:46:00,Lata Mangeshkar,Loote Koi Man Ka Nagar,12,23,6,1.55
2021-07-05 08:54:00,Lata Mangeshkar,Tumhin Meri Mandir,5,27,7,5.82
2021-07-05 09:00:00,Lata Mangeshkar,Chup Gaye Sare Nazare,5,27,7,5.49
2021-07-05 09:04:00,Lata Mangeshkar,Loote Koi Man Ka Nagar,5,27,7,3.57
2021-07-05 09:08:00,Lata Mangeshkar,Rahen Na Rahen,5,27,7,4.43
2021-07-05 09:14:00,Lata Mangeshkar,Tera Saath Hai To - Lata Mangeshkar,5,27,7,0.77
2021-07-05 13:32:00,Lata Mangeshkar,Tera Saath Hai To - Lata Mangeshkar,5,27,7,1.02
2021-07-06 07:34:00,Lata Mangeshkar,Beeti Na Bitai Raina,6,27,7,3.23
2021-07-06 07:38:00,Lata Mangeshkar,Aaj Phir Jeene Ki Tamanna Hai,6,27,7,3.97
2021-07-06 07:42:00,Lata Mangeshkar,Ehsan Tera Hoga Mujh Par - Lata Mangeshkar,6,27,7,3.51
2021-07-06 07:46:00,Lata Mangeshkar,Bahon Mein Chale Aao,6,27,7,4.03
2021-07-06 07:51:00,Lata Mangeshkar,Zindagi Pyar Ka Geet Hai,6,27,7,5.54
2021-07-06 07:56:00,Lata Mangeshkar,Rahen Na Rahen,6,27,7,4.43
2021-07-06 08:41:00,Lata Mangeshkar,"Ayegaa Ayegaa Anewaalaa, From ''Mahal''",6,27,7,0.74
2021-07-08 12:42:00,Lata Mangeshkar,Teri Bindiya Re,8,27,7,0.58
