endTime,artistName,trackName,Day,Week,Month,Minutes Played
2021-01-07 10:56:00,Mandy Moore,I See the Light,7,1,1,1.08
2021-01-07 10:59:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",7,1,1,2.75
2021-01-08 16:40:00,Mandy Moore,Cry,8,1,1,0.65
2021-02-20 13:23:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",20,7,2,3.74
2021-02-20 15:27:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",20,7,2,3.74
2021-02-21 03:46:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",21,7,2,3.74
2021-02-21 04:36:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",21,7,2,3.74
2021-02-21 09:43:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",21,7,2,3.74
2021-02-21 13:16:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",21,7,2,1.06
2021-02-21 13:19:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",21,7,2,2.7
2021-02-24 02:53:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",24,8,2,3.74
2021-02-25 02:51:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",25,8,2,3.74
2021-02-25 03:25:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",25,8,2,3.74
2021-02-25 03:51:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",25,8,2,3.74
2021-02-25 04:18:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",25,8,2,3.74
2021-02-25 05:27:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",25,8,2,3.74
2021-02-25 05:40:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",25,8,2,3.74
2021-02-25 08:06:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",25,8,2,3.74
2021-02-25 12:18:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",25,8,2,3.74
2021-02-25 13:31:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",25,8,2,1.51
2021-02-26 03:08:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",26,8,2,3.74
2021-02-26 03:59:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",26,8,2,3.74
2021-02-26 12:58:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",26,8,2,2.97
2021-02-26 13:47:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",26,8,2,0.77
2021-02-27 01:50:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",27,8,2,3.74
2021-02-27 02:24:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",27,8,2,3.74
2021-02-27 03:15:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",27,8,2,3.74
2021-02-27 08:41:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",27,8,2,3.74
2021-02-28 14:08:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",28,8,2,1.79
2021-02-28 14:11:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",28,8,2,1.95
2021-03-01 02:23:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",1,9,3,1.67
2021-03-01 02:26:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",1,9,3,2.08
