endTime,artistName,trackName,Day,Week,Month,Minutes Played
2021-03-15 02:02:00,Maren Morris,The Bones - with Hozier,15,11,3,3.16
2021-03-15 02:03:00,Maren Morris,The Bones,15,11,3,1.5
2021-03-15 02:17:00,Maren Morris,The Bones,15,11,3,3.29
2021-03-15 02:20:00,Maren Morris,The Bones,15,11,3,3.29
2021-03-15 02:24:00,Maren Morris,The Bones,15,11,3,3.29
2021-03-15 07:38:00,Maren Morris,The Bones,15,11,3,3.29
2021-03-15 07:51:00,Maren Morris,The Bones,15,11,3,1.85
2021-03-15 11:27:00,Maren Morris,The Bones,15,11,3,3.42
2021-03-15 12:55:00,Maren Morris,The Bones,15,11,3,3.28
2021-03-15 13:06:00,Maren Morris,The Bones,15,11,3,6.24
2021-03-15 13:09:00,Maren Morris,The Bones,15,11,3,3.24
2021-03-15 14:03:00,Maren Morris,The Bones,15,11,3,6.32
2021-03-15 14:26:00,Maren Morris,The Bones,15,11,3,3.29
2021-03-15 14:52:00,Maren Morris,The Bones,15,11,3,3.27
2021-03-15 15:15:00,Maren Morris,GIRL,15,11,3,1.39
2021-03-15 15:17:00,Maren Morris,Good Woman,15,11,3,2.05
2021-03-15 15:21:00,Maren Morris,The Feels,15,11,3,3.13
2021-03-15 15:24:00,Maren Morris,All My Favorite People (feat. Brothers Osborne),15,11,3,3.03
2021-03-15 15:25:00,Maren Morris,A Song for Everything,15,11,3,1.2
2021-03-15 15:28:00,Maren Morris,The Bones,15,11,3,3.29
2021-03-15 15:33:00,Maren Morris,The Bones,15,11,3,3.29
2021-03-15 15:36:00,Maren Morris,The Bones - with Hozier,15,11,3,3.29
2021-03-16 00:43:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 00:54:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 01:09:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 01:16:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 01:31:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 01:37:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 02:02:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 02:05:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 03:26:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 05:00:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 06:40:00,Maren Morris,The Bones - with Hozier,16,11,3,6.28
2021-03-16 06:59:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 07:10:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 08:19:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 11:36:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 11:50:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 12:09:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 12:13:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 13:52:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 14:29:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 14:39:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 14:42:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 14:52:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 14:55:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
2021-03-16 15:14:00,Maren Morris,The Bones,16,11,3,3.29
2021-03-16 15:17:00,Maren Morris,The Bones - with Hozier,16,11,3,3.29
