endTime,artistName,trackName,Day,Week,Month,Minutes Played
2021-10-01 02:08:00,Ed Sheeran,Shape of You,1,39,10,3.63
2021-10-01 02:13:00,Lady Gaga,I'll Never Love Again - Extended Version,1,39,10,5.48
2021-10-01 02:18:00,Taylor Swift,exile (feat. Bon Iver),1,39,10,4.76
2021-10-01 02:21:00,Selena Gomez,Wolves,1,39,10,3.3
2021-10-01 02:35:00,Ed Sheeran,Bad Habits,1,39,10,2.58
2021-10-01 06:19:00,Ed Sheeran,Bad Habits,1,39,10,1.3
2021-10-01 06:32:00,Britney Spears,Toxic,1,39,10,3.31
2021-10-01 06:35:00,Céline Dion,How Does A Moment Last Forever,1,39,10,3.63
2021-10-01 06:39:00,Maren Morris,The Bones - with Hozier,1,39,10,3.29
2021-10-01 06:44:00,Taylor Swift,All Too Well,1,39,10,5.49
2021-10-01 07:03:00,Lea Salonga,A Whole New World,1,39,10,2.64
2021-10-01 07:06:00,Ed Sheeran,Afterglow,1,39,10,3.09
2021-10-01 07:11:00,Taylor Swift,august,1,39,10,4.37
2021-10-01 07:16:00,Christina Perri,A Thousand Years,1,39,10,4.75
2021-10-01 07:19:00,Lady Gaga,Shallow - Radio Edit,1,39,10,3.62
2021-10-01 07:38:00,Céline Dion,I Surrender,1,39,10,4.54
2021-10-01 10:43:00,Alan Walker,Fake A Smile,1,39,10,2.8
2021-10-01 11:01:00,Taylor Swift,evermore (feat. Bon Iver),1,39,10,4.59
2021-10-01 11:57:00,Camila Cabello,Never Be the Same,1,39,10,3.78
2021-10-01 12:10:00,Britney Spears,Oops!...I Did It Again,1,39,10,3.01
2021-10-01 13:58:00,Shawn Mendes,Señorita,1,39,10,3.18
2021-10-01 14:02:00,Lady Gaga,Always Remember Us This Way,1,39,10,3.5
2021-10-01 14:05:00,Camila Cabello,Don't Go Yet,1,39,10,2.75
2021-10-01 14:16:00,Taylor Swift,willow,1,39,10,0.77
2021-10-01 14:26:00,Taylor Swift,willow,1,39,10,2.82
2021-10-01 14:30:00,Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",1,39,10,3.73
2021-10-01 14:34:00,Camila Cabello,Shameless,1,39,10,3.66
2021-10-01 14:35:00,Taylor Swift,Delicate,1,39,10,0.99
2021-10-01 14:36:00,Alan Walker,Paradise - Prelude,1,39,10,0.66
2021-10-01 14:39:00,Alan Walker,Paradise,1,39,10,3.08
