endTime,artistName,trackName,Day,Week,Month,Minutes Played
2021-09-01 01:54:00,Taylor Swift,evermore (feat. Bon Iver),1,35,9,5.07
2021-09-01 01:57:00,Selena Gomez,Wolves,1,35,9,3.3
2021-09-01 02:01:00,Britney Spears,Criminal,1,35,9,3.75
2021-09-01 02:12:00,Céline Dion,I'm Alive,1,35,9,3.5
2021-09-01 02:16:00,Céline Dion,How Does A Moment Last Forever,1,35,9,3.63
2021-09-01 02:19:00,Lady Gaga,Rain On Me (with Ariana Grande),1,35,9,3.04
2021-09-01 02:23:00,Taylor Swift,exile (feat. Bon Iver),1,35,9,4.76
2021-09-01 02:27:00,Ed Sheeran,Shape of You,1,35,9,3.9
2021-09-01 02:41:00,Harry Styles,Watermelon Sugar,1,35,9,1.65
2021-09-01 08:34:00,Camila Cabello,Don't Go Yet,1,35,9,2.75
2021-09-01 08:38:00,Lady Gaga,Shallow - Radio Edit,1,35,9,3.62
2021-09-01 08:42:00,Christina Perri,A Thousand Years,1,35,9,4.75
2021-09-01 08:48:00,Taylor Swift,All Too Well,1,35,9,5.49
2021-09-01 08:51:00,Selena Gomez,Wolves,1,35,9,3.3
2021-09-01 09:05:00,Lady Gaga,Always Remember Us This Way,1,35,9,3.5
2021-09-01 09:08:00,Maren Morris,The Bones - with Hozier,1,35,9,3.29
2021-09-01 09:22:00,Taylor Swift,willow,1,35,9,1.6
2021-09-01 09:59:00,Taylor Swift,willow,1,35,9,2.72
2021-09-01 12:36:00,Camila Cabello,Don't Go Yet,1,35,9,2.75
2021-09-01 12:38:00,Lea Salonga,A Whole New World,1,35,9,2.68
2021-09-01 12:42:00,Lady Gaga,Always Remember Us This Way,1,35,9,3.5
2021-09-01 12:46:00,Taylor Swift,Delicate,1,35,9,3.87
2021-09-01 12:49:00,Roger Bart,Go the Distance,1,35,9,3.24
2021-09-01 12:52:00,Phil Collins,Two Worlds,1,35,9,3.31
2021-09-01 12:54:00,Glenn Close,You'll Be In My Heart,1,35,9,1.61
2021-09-01 12:58:00,Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",1,35,9,3.73
2021-09-01 13:01:00,Idina Menzel,Into the Unknown,1,35,9,3.25
2021-09-01 13:21:00,Céline Dion,Let's Talk About Love,1,35,9,5.14
2021-09-01 13:33:00,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",1,35,9,3.39
2021-09-01 13:37:00,Shawn Mendes,Señorita,1,35,9,3.18
2021-09-01 13:39:00,Camila Cabello,Bad Kind of Butterflies,1,35,9,2.82
2021-09-01 13:41:00,Camila Cabello,Easy,1,35,9,2.08
2021-09-01 14:01:00,Camila Cabello,Easy,1,35,9,0.6
2021-09-01 14:15:00,Taylor Swift,Mean,1,35,9,0.85
2021-09-01 14:19:00,Taylor Swift,august,1,35,9,4.37
2021-09-01 14:23:00,Taylor Swift,champagne problems,1,35,9,4.07
2021-09-01 14:28:00,Taylor Swift,exile (feat. Bon Iver),1,35,9,4.76
2021-09-01 14:33:00,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,1,35,9,1.31
2021-09-01 14:37:00,Taylor Swift,mad woman,1,35,9,3.95
2021-09-01 14:40:00,Taylor Swift,This Is Why We Can't Have Nice Things,1,35,9,3.45
2021-09-01 14:46:00,Taylor Swift,Untouchable (Taylor’s Version),1,35,9,5.2
2021-09-01 14:50:00,Taylor Swift,betty,1,35,9,4.91
2021-09-02 02:43:00,Taylor Swift,champagne problems,2,35,9,4.0
2021-09-02 02:47:00,Taylor Swift,willow,2,35,9,3.58
2021-09-02 02:51:00,Taylor Swift,tolerate it,2,35,9,4.09
2021-09-02 02:54:00,Taylor Swift,the 1,2,35,9,3.5
2021-09-02 03:01:00,Taylor Swift,Lover,2,35,9,6.67
2021-09-02 03:14:00,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),2,35,9,2.98
2021-09-02 05:49:00,Ed Sheeran,Bad Habits,2,35,9,3.85
2021-09-02 05:53:00,Taylor Swift,august,2,35,9,4.37
2021-09-02 05:56:00,Alan Walker,Fake A Smile,2,35,9,2.8
2021-09-02 06:07:00,Christina Perri,A Thousand Years,2,35,9,0.76
2021-09-02 06:14:00,Camila Cabello,Don't Go Yet,2,35,9,2.75
