endTime,artistName,trackName,Day,Week,Month,Minutes Played
2021-01-11 16:20:00,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),11,2,1,1.41
2021-01-11 16:38:00,Shawn Mendes,Wonder,11,2,1,0.51
2021-01-11 16:39:00,Shawn Mendes,Señorita,11,2,1,0.63
2021-01-11 16:44:00,Shawn Mendes,Treat You Better,11,2,1,3.13
2021-01-11 16:45:00,Shawn Mendes,There's Nothing Holdin' Me Back,11,2,1,1.13
2021-01-13 14:26:00,Shawn Mendes,Treat You Better,13,2,1,0.65
2021-01-13 14:26:00,Shawn Mendes,There's Nothing Holdin' Me Back,13,2,1,2.37
2021-01-13 14:28:00,Shawn Mendes,Wonder,13,2,1,0.62
2021-01-13 14:30:00,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),13,2,1,2.04
2021-01-13 14:31:00,Shawn Mendes,In My Blood,13,2,1,1.45
2021-01-13 14:33:00,Shawn Mendes,Nervous,13,2,1,1.73
2021-01-13 14:34:00,Shawn Mendes,A Little Too Much,13,2,1,1.06
2021-01-13 14:36:00,Shawn Mendes,Stitches,13,2,1,1.45
2021-01-13 14:37:00,Shawn Mendes,If I Can't Have You,13,2,1,1.09
2021-01-13 14:38:00,Shawn Mendes,Where Were You In The Morning?,13,2,1,1.46
2021-01-13 14:39:00,Shawn Mendes,Mercy,13,2,1,0.81
2021-01-13 14:41:00,Shawn Mendes,Fallin' All In You,13,2,1,1.92
2021-01-13 14:43:00,Shawn Mendes,Don't Be A Fool,13,2,1,2.1
2021-01-13 14:45:00,Shawn Mendes,Perfectly Wrong,13,2,1,1.81
2021-01-13 14:49:00,Shawn Mendes,Señorita,13,2,1,3.18
2021-01-13 14:52:00,Shawn Mendes,Treat You Better,13,2,1,2.67
2021-01-14 15:46:00,Shawn Mendes,Señorita,14,2,1,3.18
2021-01-15 01:48:00,Shawn Mendes,Señorita,15,2,1,3.18
2021-01-15 04:49:00,Shawn Mendes,Señorita,15,2,1,3.18
2021-01-15 14:51:00,Shawn Mendes,Señorita,15,2,1,3.18
2021-01-15 15:18:00,Shawn Mendes,Señorita,15,2,1,3.18
2021-01-15 15:42:00,Shawn Mendes,Señorita,15,2,1,3.18
2021-01-15 15:49:00,Shawn Mendes,There's Nothing Holdin' Me Back,15,2,1,1.87
2021-01-15 15:50:00,Shawn Mendes,Stitches,15,2,1,1.02
2021-01-15 16:12:00,Shawn Mendes,Señorita,15,2,1,0.79
2021-01-16 02:20:00,Shawn Mendes,Señorita,16,2,1,3.31
2021-01-16 02:50:00,Shawn Mendes,There's Nothing Holdin' Me Back,16,2,1,3.32
2021-01-16 04:15:00,Shawn Mendes,Señorita,16,2,1,3.18
2021-01-16 04:18:00,Shawn Mendes,Where Were You In The Morning?,16,2,1,3.0
2021-01-16 04:22:00,Shawn Mendes,Señorita,16,2,1,3.18
2021-01-16 05:57:00,Shawn Mendes,Señorita,16,2,1,3.18
2021-01-16 06:07:00,Shawn Mendes,Treat You Better,16,2,1,3.13
2021-01-16 13:24:00,Shawn Mendes,Señorita,16,2,1,3.18
2021-01-16 14:22:00,Shawn Mendes,Mercy,16,2,1,2.16
2021-01-16 14:26:00,Shawn Mendes,There's Nothing Holdin' Me Back,16,2,1,3.32
2021-01-16 14:29:00,Shawn Mendes,Señorita,16,2,1,3.18
2021-01-16 14:57:00,Shawn Mendes,Treat You Better,16,2,1,0.59
2021-01-17 01:48:00,Shawn Mendes,Treat You Better,17,2,1,2.56
2021-01-17 13:26:00,Shawn Mendes,There's Nothing Holdin' Me Back,17,2,1,3.32
2021-01-17 13:37:00,Shawn Mendes,Treat You Better,17,2,1,3.13
2021-01-17 13:40:00,Shawn Mendes,Señorita,17,2,1,3.18
2021-01-17 13:46:00,Shawn Mendes,Mercy,17,2,1,2.11
2021-01-17 13:58:00,Shawn Mendes,There's Nothing Holdin' Me Back,17,2,1,3.32
2021-01-17 14:06:00,Shawn Mendes,Treat You Better,17,2,1,3.13
2021-01-17 14:10:00,Shawn Mendes,Mercy,17,2,1,0.54
2021-01-17 14:32:00,Shawn Mendes,Mercy,17,2,1,2.25
2021-01-18 04:29:00,Shawn Mendes,Mercy,18,3,1,3.48
2021-01-18 13:27:00,Shawn Mendes,Señorita,18,3,1,3.18
2021-01-18 13:30:00,Shawn Mendes,Mercy,18,3,1,3.48
2021-01-18 13:57:00,Shawn Mendes,There's Nothing Holdin' Me Back,18,3,1,5.77
2021-01-18 14:08:00,Shawn Mendes,Señorita,18,3,1,3.18
2021-01-18 14:13:00,Shawn Mendes,Mercy,18,3,1,3.48
2021-01-19 00:54:00,Shawn Mendes,Señorita,19,3,1,3.18
2021-01-19 01:09:00,Shawn Mendes,There's Nothing Holdin' Me Back,19,3,1,3.32
2021-01-19 04:23:00,Shawn Mendes,Señorita,19,3,1,3.18
2021-01-19 04:42:00,Shawn Mendes,Señorita,19,3,1,3.18
2021-01-19 06:33:00,Shawn Mendes,Señorita,19,3,1,3.18
2021-01-19 07:06:00,Shawn Mendes,Señorita,19,3,1,3.18
2021-01-19 07:32:00,Shawn Mendes,Señorita,19,3,1,3.18
2021-01-19 07:50:00,Shawn Mendes,Señorita,19,3,1,3.18
2021-01-19 10:50:00,Shawn Mendes,Señorita,19,3,1,3.18
2021-01-19 11:10:00,Shawn Mendes,Señorita,19,3,1,3.18
2021-01-19 11:20:00,Shawn Mendes,Señorita,19,3,1,3.18
2021-01-19 14:53:00,Shawn Mendes,Señorita,19,3,1,3.18
2021-01-20 00:44:00,Shawn Mendes,Señorita,20,3,1,3.18
2021-01-20 01:04:00,Shawn Mendes,Señorita,20,3,1,0.86
2021-01-20 09:33:00,Shawn Mendes,Señorita,20,3,1,3.18
2021-01-20 09:49:00,Shawn Mendes,There's Nothing Holdin' Me Back,20,3,1,3.32
2021-01-20 11:03:00,Shawn Mendes,Señorita,20,3,1,3.18
2021-01-20 11:29:00,Shawn Mendes,Señorita,20,3,1,3.18
2021-01-20 14:07:00,Shawn Mendes,Señorita,20,3,1,3.18
2021-01-20 14:22:00,Shawn Mendes,Señorita,20,3,1,3.18
2021-01-20 14:44:00,Shawn Mendes,Señorita,20,3,1,2.74
2021-01-21 04:26:00,Shawn Mendes,Señorita,21,3,1,3.18
2021-01-21 06:21:00,Shawn Mendes,Señorita,21,3,1,3.18
2021-01-21 08:17:00,Shawn Mendes,Señorita,21,3,1,1.02
2021-01-21 08:27:00,Shawn Mendes,Señorita,21,3,1,2.16
2021-01-21 10:13:00,Shawn Mendes,Señorita,21,3,1,3.18
2021-01-21 11:27:00,Shawn Mendes,Señorita,21,3,1,3.18
2021-01-21 15:14:00,Shawn Mendes,Señorita,21,3,1,3.18
2021-01-21 16:02:00,Shawn Mendes,Señorita,21,3,1,3.18
2021-01-22 04:14:00,Shawn Mendes,Señorita,22,3,1,3.18
2021-01-22 07:04:00,Shawn Mendes,Señorita,22,3,1,1.01
2021-01-22 07:33:00,Shawn Mendes,Señorita,22,3,1,3.18
2021-01-22 08:31:00,Shawn Mendes,Señorita,22,3,1,3.18
2021-01-22 10:36:00,Shawn Mendes,Señorita,22,3,1,3.18
2021-01-22 11:30:00,Shawn Mendes,Señorita,22,3,1,3.18
2021-01-23 01:15:00,Shawn Mendes,Señorita,23,3,1,3.18
2021-01-23 04:50:00,Shawn Mendes,Mercy,23,3,1,3.48
2021-01-23 05:13:00,Shawn Mendes,Perfectly Wrong,23,3,1,0.94
2021-01-23 05:35:00,Shawn Mendes,Mercy,23,3,1,3.48
2021-01-23 05:38:00,Shawn Mendes,Where Were You In The Morning?,23,3,1,3.34
2021-01-23 05:46:00,Shawn Mendes,There's Nothing Holdin' Me Back,23,3,1,3.32
2021-01-23 06:23:00,Shawn Mendes,Mercy,23,3,1,3.48
2021-01-23 06:27:00,Shawn Mendes,Where Were You In The Morning?,23,3,1,3.34
2021-01-23 07:14:00,Shawn Mendes,Mercy,23,3,1,3.48
2021-01-23 07:17:00,Shawn Mendes,Where Were You In The Morning?,23,3,1,3.34
2021-01-23 07:29:00,Shawn Mendes,There's Nothing Holdin' Me Back,23,3,1,3.32
2021-01-23 08:16:00,Shawn Mendes,Mercy,23,3,1,3.48
2021-01-23 08:20:00,Shawn Mendes,Where Were You In The Morning?,23,3,1,3.34
2021-01-23 08:21:00,Shawn Mendes,There's Nothing Holdin' Me Back,23,3,1,1.74
2021-01-23 08:29:00,Shawn Mendes,Where Were You In The Morning?,23,3,1,3.34
2021-01-23 08:36:00,Shawn Mendes,Mercy,23,3,1,3.48
2021-01-23 08:52:00,Shawn Mendes,Where Were You In The Morning?,23,3,1,3.34
2021-01-23 08:59:00,Shawn Mendes,Mercy,23,3,1,3.48
2021-01-23 09:20:00,Shawn Mendes,Where Were You In The Morning?,23,3,1,5.71
2021-01-23 09:27:00,Shawn Mendes,Mercy,23,3,1,3.48
