endTime,artistName,trackName,msPlayed
2021-12-23 15:37,Taylor Swift,Untouchable (Taylor’s Version),186569
2021-12-24 02:37,Adele,Easy On Me,224694
2021-12-24 02:42,Adele,Someone Like You,285240
2021-12-24 02:47,Adele,Love In The Dark,285935
2021-12-24 02:51,Adele,Rolling in the Deep,228093
2021-12-24 02:54,Adele,Chasing Pavements,210506
2021-12-24 03:09,Adele,Set Fire to the Rain,233150
2021-12-24 06:18,Adele,Water Under the Bridge,240439
2021-12-24 06:23,Adele,When We Were Young,290900
2021-12-24 06:28,Adele,Hello,295502
2021-12-24 06:41,Adele,Easy On Me,199538
2021-12-24 06:43,Adele,Easy On Me,25542
2021-12-24 06:49,Adele,One And Only,348226
2021-12-24 06:52,Adele,Chasing Pavements,210506
2021-12-24 06:57,Adele,Tired,258853
2021-12-24 07:00,Adele,Remedy,174199
2021-12-24 07:04,Adele,Love In The Dark,285935
2021-12-24 07:17,Adele,All I Ask,164004
2021-12-24 07:27,Adele,All I Ask,107837
2021-12-24 07:31,Adele,Set Fire to the Rain,242973
2021-12-24 07:35,Adele,Don't You Remember,243200
2021-12-24 07:40,Adele,Someone Like You,285240
2021-12-24 07:44,Adele,Water Under the Bridge,240439
2021-12-24 07:49,Adele,When We Were Young,290900
2021-12-24 07:54,Adele,Hello,295502
2021-12-24 07:58,Adele,Easy On Me,224694
2021-12-24 08:11,Adele,One And Only,226373
2021-12-24 11:22,Adele,Love In The Dark,285935
2021-12-24 11:27,Adele,Someone Like You,285240
2021-12-24 11:30,Adele,Chasing Pavements,210506
2021-12-24 11:34,Adele,Don't You Remember,243200
2021-12-24 11:40,Adele,One And Only,348226
2021-12-24 11:44,Adele,Water Under the Bridge,240439
2021-12-24 11:58,Adele,When We Were Young,202892
2021-12-24 12:02,Taylor Swift,Mean,5242
2021-12-24 12:06,Taylor Swift,this is me trying,195097
2021-12-24 12:09,Taylor Swift,Red (Taylor's Version),223093
2021-12-24 12:13,Taylor Swift,mad woman,237258
2021-12-24 12:26,Taylor Swift,Begin Again (Taylor's Version),140194
2021-12-24 12:33,Taylor Swift,Begin Again (Taylor's Version),99010
2021-12-24 12:38,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),193146
2021-12-24 12:41,Taylor Swift,I Think He Knows,173386
2021-12-24 12:47,Taylor Swift,Enchanted,352200
2021-12-24 12:51,Taylor Swift,Fearless (Taylor’s Version),241591
2021-12-24 12:54,Taylor Swift,hoax,220042
2021-12-24 12:58,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),240226
2021-12-24 13:03,Taylor Swift,champagne problems,244000
2021-12-24 13:09,Taylor Swift,Untouchable (Taylor’s Version),312107
2021-12-24 13:13,Taylor Swift,I Knew You Were Trouble (Taylor's Version),219760
2021-12-24 13:16,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),193000
2021-12-24 13:27,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026
2021-12-24 13:30,Taylor Swift,Lover,221306
2021-12-24 13:34,Taylor Swift,This Is Why We Can't Have Nice Things,207133
2021-12-24 13:37,Taylor Swift,the 1,210251
2021-12-24 13:58,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),37149
2021-12-24 14:23,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),91800
2021-12-24 15:12,Miranda Lambert,Settling Down,197452
2021-12-24 15:17,Billie Eilish,Happier Than Ever,298899
2021-12-24 15:27,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026
2021-12-24 15:31,Alan Walker,Darkside,211680
2021-12-24 15:32,Taylor Swift,august,77099
2021-12-25 01:57,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),258813
2021-12-25 02:01,Taylor Swift,my tears ricochet,255893
2021-12-25 02:05,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),220839
2021-12-25 02:09,Taylor Swift,tolerate it,245440
2021-12-25 02:13,Taylor Swift,You Belong With Me (Taylor’s Version),231124
2021-12-25 02:18,Taylor Swift,betty,294521
2021-12-25 02:22,Taylor Swift,cardigan,239560
2021-12-25 02:26,Taylor Swift,Style,231000
2021-12-25 02:30,Taylor Swift,Getaway Car,233626
2021-12-25 02:42,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,10611
2021-12-25 04:14,Taylor Swift,Red,2172
2021-12-25 04:18,Shawn Mendes,Where Were You In The Morning?,200600
2021-12-25 04:29,Taylor Swift,Red,10963
2021-12-25 06:17,Ed Sheeran,Perfect,6
2021-12-25 06:17,Ed Sheeran,Perfect,0
2021-12-25 06:36,Ed Sheeran,Perfect,159920
2021-12-25 07:21,Ed Sheeran,Perfect,103748
2021-12-25 07:32,Miranda Lambert,Settling Down,19911
2021-12-25 10:46,Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",273666
2021-12-25 10:51,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",280000
2021-12-25 10:55,Lady Gaga,Shallow - Radio Edit,217212
2021-12-25 11:00,Lady Gaga,I'll Never Love Again - Extended Version,328893
2021-12-25 11:04,Taylor Swift,Tim McGraw,232106
2021-12-25 11:21,Britney Spears,Criminal,210380
2021-12-25 13:49,Britney Spears,Criminal,16210
2021-12-25 13:53,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",224240
2021-12-25 13:57,Lady Gaga,Always Remember Us This Way,210200
2021-12-25 14:03,Taylor Swift,Enchanted,352200
2021-12-25 14:20,Taylor Swift,Blank Space,9406
2021-12-25 14:20,Camila Cabello,Shameless,219737
2021-12-25 14:23,Shawn Mendes,There's Nothing Holdin' Me Back,199440
2021-12-25 14:28,Adele,Love In The Dark,285935
2021-12-25 14:31,Ed Sheeran,Afterglow,131358
2021-12-25 14:32,Ed Sheeran,Afterglow,54971
2021-12-25 14:35,Maren Morris,The Bones,197293
2021-12-25 14:39,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),240226
2021-12-25 14:44,Christina Perri,A Thousand Years,285120
2021-12-25 14:49,Céline Dion,Let's Talk About Love,312400
2021-12-25 14:52,Céline Dion,I'm Alive,210226
2021-12-25 15:02,Adele,Love In The Dark,285935
2021-12-25 15:05,Lady Gaga,Always Remember Us This Way,210200
2021-12-25 15:11,Taylor Swift,Enchanted,352200
2021-12-25 15:15,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",203660
2021-12-25 15:18,Alan Walker,Darkside,211680
2021-12-25 15:23,Taylor Swift,exile (feat. Bon Iver),285634
2021-12-25 15:27,Taylor Swift,All Too Well,231832
2021-12-25 15:32,Céline Dion,Where Does My Heart Beat Now,230625
2021-12-25 15:33,Céline Dion,I'm Alive,20046
2021-12-25 15:33,Céline Dion,Where Does My Heart Beat Now,43362
2021-12-26 03:05,Céline Dion,I'm Alive,30001
2021-12-26 03:06,Céline Dion,I'm Alive,8944
2021-12-26 03:10,Adele,Easy On Me,224694
2021-12-26 03:14,Adele,Hello,295502
2021-12-26 03:20,Adele,One And Only,348226
2021-12-26 03:24,Adele,Don't You Remember,243200
2021-12-26 03:28,Adele,Remedy,245426
2021-12-26 03:32,Adele,Make You Feel My Love,212040
2021-12-26 03:36,Adele,Rolling in the Deep,228093
2021-12-26 03:44,Adele,All I Ask,271800
2021-12-26 03:47,Adele,Chasing Pavements,210506
2021-12-26 03:52,Adele,Someone Like You,285240
2021-12-26 03:57,Adele,When We Were Young,290900
2021-12-26 04:01,Adele,I'll Be Waiting,241351
2021-12-26 04:06,Adele,Love In The Dark,285935
2021-12-26 04:12,Adele,Water Under the Bridge,240439
2021-12-26 04:16,Adele,Tired,258853
2021-12-26 04:20,Adele,Set Fire to the Rain,242973
2021-12-26 04:24,Adele,Easy On Me,224694
2021-12-26 04:41,Adele,Hello,211445
2021-12-26 06:43,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),258813
2021-12-26 06:47,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),240226
2021-12-26 06:51,Taylor Swift,my tears ricochet,255893
2021-12-26 06:56,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),258813
2021-12-26 07:09,Taylor Swift,champagne problems,215973
2021-12-26 07:18,Taylor Swift,champagne problems,28458
2021-12-26 07:21,Taylor Swift,willow,214706
2021-12-26 07:26,Taylor Swift,august,261922
2021-12-26 07:31,Taylor Swift,exile (feat. Bon Iver),285634
2021-12-26 07:31,Taylor Swift,Blank Space,37082
2021-12-26 07:31,Taylor Swift,Mean,1616
2021-12-26 07:37,Taylor Swift,Enchanted,352200
2021-12-26 07:39,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),95793
2021-12-26 07:41,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),123900
2021-12-26 07:46,Taylor Swift,evermore (feat. Bon Iver),304106
2021-12-26 07:50,Taylor Swift,Love Story (Taylor’s Version),235766
2021-12-26 07:54,Taylor Swift,invisible string,252880
2021-12-26 07:58,Taylor Swift,Style,231000
2021-12-26 08:01,Taylor Swift,I Think He Knows,173386
2021-12-26 08:06,Taylor Swift,exile (feat. Bon Iver),285634
2021-12-26 08:10,Taylor Swift,Begin Again (Taylor's Version),238866
2021-12-26 08:13,Taylor Swift,Our Song,201106
2021-12-26 09:10,Taylor Swift,Fearless (Taylor’s Version),96852
2021-12-26 09:14,Taylor Swift,tolerate it,245440
2021-12-26 09:18,Taylor Swift,august,261922
2021-12-26 09:22,Taylor Swift,Getaway Car,233626
2021-12-26 09:37,Taylor Swift,We Were Happy (Taylor’s Version) (From The Vault),76870
2021-12-26 10:09,Taylor Swift,We Were Happy (Taylor’s Version) (From The Vault),167780
2021-12-26 10:18,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",533619
2021-12-26 10:22,Taylor Swift,I Knew You Were Trouble (Taylor's Version),219760
2021-12-26 10:22,Taylor Swift,Style,11654
2021-12-26 10:32,Taylor Swift,evermore (feat. Bon Iver),1103
2021-12-26 11:06,Taylor Swift,evermore (feat. Bon Iver),303470
